Train No,Train Name,Start Node,End Node,Arrival time,Type,Movement
12000,Demonstration Service 001,ANVR-WEST-UP-ENTRY,ANVR-EAST-UP-EXIT,00:00:00,Vande Bharat,THROUGH
12001,Demonstration Service 002,ANVR-WEST-UP-ENTRY,ANVR-EAST-UP-EXIT,00:00:00,Shatabdi,THROUGH
12002,Demonstration Service 003,ANVR-WEST-UP-ENTRY,ANVR-EAST-UP-EXIT,00:04:00,Rajdhani,THROUGH
12003,Demonstration Service 004,ANVR-WEST-UP-ENTRY,ANVR-EAST-UP-EXIT,00:04:00,Passenger,THROUGH
12004,Demonstration Service 005,ANVR-EAST-DN-ENTRY,ANVR-WEST-DN-EXIT,00:08:00,MEMU,THROUGH
12005,Demonstration Service 006,ANVR-EAST-DN-ENTRY,ANVR-WEST-DN-EXIT,00:08:00,Express,THROUGH
12006,Demonstration Service 007,ANVR-EAST-DN-ENTRY,ANVR-WEST-DN-EXIT,00:12:00,Freight,THROUGH
12007,Demonstration Service 008,ANVR-WEST-UP-ENTRY,ANVR-EAST-UP-EXIT,00:12:00,Vande Bharat,THROUGH
12008,Demonstration Service 009,ANVR-WEST-UP-ENTRY,ANVR-EAST-UP-EXIT,00:16:00,Shatabdi,THROUGH
12009,Demonstration Service 010,ANVR-WEST-UP-ENTRY,ANVR-EAST-UP-EXIT,00:16:00,Rajdhani,THROUGH
12010,Demonstration Service 011,ANVR-WEST-UP-ENTRY,ANVR-EAST-UP-EXIT,00:20:00,Passenger,THROUGH
12011,Demonstration Service 012,ANVR-EAST-DN-ENTRY,ANVR-WEST-DN-EXIT,00:20:00,MEMU,THROUGH
