Train No,Train Name,Start Node,End Node,Arrival time,Type
22436,VANDE BHARAT EXP #1,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:00:00,Vande Bharat
12424,DIBRUGARH RAJDHANI #2,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:00:01,Rajdhani
12301,HOWRAH RAJDHANI #3,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:00:02,Rajdhani
12004,LUCKNOW SHATABDI #4,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:00:03,Shatabdi
12014,AMRITSAR SHATABDI #5,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:00:08,Shatabdi
12560,SHIV GANGA SF EXP #6,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:00:13,SF Express
12418,PRAYAGRAJ EXPRESS #7,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:00:18,SF Express
14206,DELHI-AYODHYA EXPRESS #8,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:00:23,Express
12392,SHRAMJEEVI EXPRESS #9,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:00:28,Express
64402,GHAZIABAD EMU LOCAL #10,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:00:33,MEMU
64411,NEW DELHI EMU LOCAL #11,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:00:38,MEMU
74002,ROHTAK DMU PASSENGER #12,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:00:43,DMU
13008,TOOFAN MAIL #13,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:00:48,Mail
BOXN-801,COAL RAKE SPECIAL #14,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:00:53,Freight
CON-402,CONTAINER EXPRESS #15,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:00:58,Freight
LOCO-REV-1,LIGHT ENGINE MOVEMENT #16,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:01:03,Express
22436-17,VANDE BHARAT EXP #17,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:01:08,Vande Bharat
12424-18,DIBRUGARH RAJDHANI #18,SIG-EXIT-UPM,SIG-ENTRY-DNM,00:01:13,Rajdhani
12301-19,HOWRAH RAJDHANI #19,SIG-ENTRY-DNM,SIG-EXIT-UPS,00:01:18,Rajdhani
12004-20,LUCKNOW SHATABDI #20,SIG-EXIT-UPS,SIG-ENTRY-UPM,00:01:23,Shatabdi
12014-21,AMRITSAR SHATABDI #21,SIG-ENTRY-UPM,SIG-EXIT-DNM,00:01:30,Shatabdi
12560-22,SHIV GANGA SF EXP #22,SIG-EXIT-DNM,SIG-ENTRY-UPS,00:01:37,SF Express
12418-23,PRAYAGRAJ EXPRESS #23,SIG-ENTRY-UPS,SIG-EXIT-UPM,00:01:44,SF Express
