Train No,Train Name,Start Node,End Node,Arrival time,Type,Movement
12000,Demonstration Service 001,DLI-WEST-UP-ENTRY,DLI-EAST-UP-EXIT,00:00:00,Vande Bharat,PLATFORM_LOOP
12001,Demonstration Service 002,DLI-WEST-UP-ENTRY,DLI-EAST-UP-EXIT,00:00:00,Shatabdi,PLATFORM_LOOP
12002,Demonstration Service 003,DLI-WEST-UP-ENTRY,DLI-EAST-UP-EXIT,00:04:00,Rajdhani,PLATFORM_LOOP
12003,Demonstration Service 004,DLI-WEST-UP-ENTRY,DLI-EAST-UP-EXIT,00:04:00,Passenger,PLATFORM_LOOP
12004,Demonstration Service 005,DLI-WEST-UP-ENTRY,DLI-EAST-UP-EXIT,00:08:00,MEMU,PLATFORM_LOOP
12005,Demonstration Service 006,DLI-WEST-UP-ENTRY,DLI-EAST-UP-EXIT,00:08:00,Express,PLATFORM_LOOP
12006,Demonstration Service 007,DLI-WEST-UP-ENTRY,DLI-EAST-UP-EXIT,00:12:00,Freight,PLATFORM_LOOP
12007,Demonstration Service 008,DLI-WEST-UP-ENTRY,DLI-EAST-UP-EXIT,00:12:00,Vande Bharat,PLATFORM_LOOP
12008,Demonstration Service 009,DLI-EAST-DN-ENTRY,DLI-WEST-DN-EXIT,00:16:00,Shatabdi,PLATFORM_LOOP
12009,Demonstration Service 010,DLI-EAST-DN-ENTRY,DLI-WEST-DN-EXIT,00:16:00,Rajdhani,PLATFORM_LOOP
12010,Demonstration Service 011,DLI-EAST-DN-ENTRY,DLI-WEST-DN-EXIT,00:20:00,Passenger,PLATFORM_LOOP
12011,Demonstration Service 012,DLI-EAST-DN-ENTRY,DLI-WEST-DN-EXIT,00:20:00,MEMU,PLATFORM_LOOP
12012,Demonstration Service 013,DLI-EAST-DN-ENTRY,DLI-WEST-DN-EXIT,00:24:00,Express,PLATFORM_LOOP
12013,Demonstration Service 014,DLI-EAST-DN-ENTRY,DLI-WEST-DN-EXIT,00:24:00,Freight,PLATFORM_LOOP
12014,Demonstration Service 015,DLI-EAST-DN-ENTRY,DLI-WEST-DN-EXIT,00:28:00,Vande Bharat,PLATFORM_LOOP
12015,Demonstration Service 016,DLI-EAST-DN-ENTRY,DLI-WEST-DN-EXIT,00:28:00,Shatabdi,PLATFORM_LOOP
12016,Demonstration Service 017,DLI-WEST-UP-ENTRY,DLI-EAST-UP-EXIT,00:32:00,Rajdhani,PLATFORM_LOOP
12017,Demonstration Service 018,DLI-WEST-UP-ENTRY,DLI-EAST-UP-EXIT,00:32:00,Passenger,PLATFORM_LOOP
12018,Demonstration Service 019,DLI-WEST-UP-ENTRY,DLI-EAST-UP-EXIT,00:36:00,MEMU,PLATFORM_LOOP
12019,Demonstration Service 020,DLI-WEST-UP-ENTRY,DLI-EAST-UP-EXIT,00:36:00,Express,PLATFORM_LOOP
