Train No,Train Name,Start Type,Station Code,Station Name,Arrival time,Departure Time,Platform,Type,Source Station,Source Station Name,Destination Station,Destination Station Name
98696,TRN-696-EXP,Through,DLI,DELHI JN.,04:50:00,04:50:00,4,Rajdhani,HOWRAH,HOWRAH,BIKANER,BIKANER
38893,TRN-893-SF,Through,DLI,DELHI JN.,22:30:00,22:35:00,5,Passenger,HARIDWAR,HARIDWAR,DLI,DLI
38221,TRN-221-PNR,Origin,DLI,DELHI JN.,22:30:00,22:30:00,10,DMU,DLI,DELHI JN.,JAMMU TAWI,JAMMU TAWI
15695,TRN-695-SF,Through,DLI,DELHI JN.,16:05:00,16:08:00,10,MEMU,JAMMU TAWI,JAMMU TAWI,DLI,DLI
19116,TRN-116-EXP,Through,DLI,DELHI JN.,03:20:00,03:27:00,5,SF Express,AMRITSAR,AMRITSAR,DLI,DLI
93320,TRN-320-PNR,Origin,DLI,DELHI JN.,07:30:00,07:30:00,10,Passenger,DLI,DELHI JN.,GHAZIABAD,GHAZIABAD
80010,TRN-10-M,Origin,DLI,DELHI JN.,17:20:00,17:20:00,11,Shatabdi,DLI,DELHI JN.,KOLKATA,KOLKATA
17331,TRN-331-M,Through,DLI,DELHI JN.,07:10:00,07:12:00,4,SF Express,SRINAGAR,SRINAGAR,HARIDWAR,HARIDWAR
61856,TRN-856-SF,Origin,DLI,DELHI JN.,17:20:00,17:20:00,5,Rajdhani,DLI,DELHI JN.,BIKANER,BIKANER
86484,TRN-484-SF,Through,DLI,DELHI JN.,05:50:00,06:15:00,3,Passenger,BOKARO,BOKARO,BIKANER,BIKANER
99192,TRN-192-SF,Through,DLI,DELHI JN.,11:10:00,11:12:00,1,Mail,BIKANER,BIKANER,DLI,DLI
99353,TRN-353-PNR,Through,DLI,DELHI JN.,07:30:00,07:45:00,9,Passenger,HOWRAH,HOWRAH,VARANASI,VARANASI
76542,TRN-542-EXP,Terminating,DLI,DELHI JN.,17:20:00,17:20:00,3,Shatabdi,ROHTAK,ROHTAK,DLI,DELHI JN.
31174,TRN-174-EXP,Through,DLI,DELHI JN.,04:45:00,04:57:00,4,Express,VARANASI,VARANASI,DLI,DLI
41571,TRN-571-EXP,Origin,DLI,DELHI JN.,06:45:00,06:45:00,3,Passenger,DLI,DELHI JN.,BIKANER,BIKANER
96474,TRN-474-SF,Terminating,DLI,DELHI JN.,07:10:00,07:10:00,4,MEMU,AGRA,AGRA,DLI,DELHI JN.
50857,TRN-857-SF,Terminating,DLI,DELHI JN.,18:40:00,18:40:00,8,Mail,LUCKNOW NR,LUCKNOW NR,DLI,DELHI JN.
42493,TRN-493-M,Origin,DLI,DELHI JN.,17:20:00,17:20:00,10,MEMU,DLI,DELHI JN.,KOLKATA,KOLKATA
10942,TRN-942-EXP,Through,DLI,DELHI JN.,04:00:00,04:02:00,9,MEMU,GHAZIABAD,GHAZIABAD,DLI,DLI
46500,TRN-500-SF,Origin,DLI,DELHI JN.,03:50:00,03:50:00,8,MEMU,DLI,DELHI JN.,SRINAGAR,SRINAGAR
71993,TRN-993-SF,Origin,DLI,DELHI JN.,06:25:00,06:25:00,7,Rajdhani,DLI,DELHI JN.,JAMMU TAWI,JAMMU TAWI
71213,TRN-213-EXP,Through,DLI,DELHI JN.,04:10:00,04:12:00,4,MEMU,HARIDWAR,HARIDWAR,KALKA,KALKA
34931,TRN-931-SF,Origin,DLI,DELHI JN.,04:35:00,04:35:00,2,SF Express,DLI,DELHI JN.,KOLKATA,KOLKATA
82132,TRN-132-EXP,Origin,DLI,DELHI JN.,00:35:00,00:35:00,4,Passenger,DLI,DELHI JN.,GHAZIABAD,GHAZIABAD
63269,TRN-269-SF,Through,DLI,DELHI JN.,06:45:00,06:50:00,8,DMU,AMRITSAR,AMRITSAR,LUCKNOW,LUCKNOW
65444,TRN-444-SF,Origin,DLI,DELHI JN.,11:10:00,11:10:00,12,Express,DLI,DELHI JN.,SRINAGAR,SRINAGAR
51104,TRN-104-EXP,Origin,DLI,DELHI JN.,17:20:00,17:20:00,1,Mail,DLI,DELHI JN.,JAIPUR,JAIPUR
34356,TRN-356-EXP,Through,DLI,DELHI JN.,10:00:00,10:15:00,10,Express,SRINAGAR,SRINAGAR,KOLKATA,KOLKATA
91183,TRN-183-EXP,Through,DLI,DELHI JN.,22:15:00,22:27:00,11,Shatabdi,ROHTAK,ROHTAK,DLI,DLI
41285,TRN-285-PNR,Through,DLI,DELHI JN.,12:45:00,13:05:00,8,Mail,GHAZIABAD,GHAZIABAD,HOWRAH,HOWRAH
19602,TRN-602-M,Through,DLI,DELHI JN.,22:30:00,22:32:00,5,Passenger,JAMMU TAWI,JAMMU TAWI,DLI,DLI
67433,TRN-433-PNR,Through,DLI,DELHI JN.,07:10:00,07:12:00,5,Mail,BIKANER,BIKANER,DLI,DLI
27601,TRN-601-PNR,Origin,DLI,DELHI JN.,17:20:00,17:20:00,5,DMU,DLI,DELHI JN.,BIKANER,BIKANER
89276,TRN-276-M,Through,DLI,DELHI JN.,07:30:00,07:55:00,11,Rajdhani,BOKARO,BOKARO,KALKA,KALKA
46265,TRN-265-EXP,Origin,DLI,DELHI JN.,11:10:00,11:10:00,12,SF Express,DLI,DELHI JN.,JAIPUR,JAIPUR
82309,TRN-309-SF,Through,DLI,DELHI JN.,02:10:00,02:35:00,9,Passenger,JAMMU TAWI,JAMMU TAWI,SRINAGAR,SRINAGAR
66333,TRN-333-M,Origin,DLI,DELHI JN.,15:15:00,15:15:00,4,MEMU,DLI,DELHI JN.,JAMMU TAWI,JAMMU TAWI
97416,TRN-416-EXP,Through,DLI,DELHI JN.,17:20:00,17:50:00,3,Passenger,KOLKATA,KOLKATA,DLI,DLI
64040,TRN-40-EXP,Origin,DLI,DELHI JN.,00:00:00,00:00:00,5,Passenger,DLI,DELHI JN.,KOLKATA,KOLKATA
24168,TRN-168-SF,Terminating,DLI,DELHI JN.,22:45:00,22:47:00,8,Shatabdi,ROHTAK,ROHTAK,DLI,DELHI JN.
50001,TRN-1-M,Origin,DLI,DELHI JN.,17:00:00,17:00:00,5,Mail,DLI,DELHI JN.,HARIDWAR,HARIDWAR
46585,TRN-585-PNR,Through,DLI,DELHI JN.,17:20:00,17:32:00,5,Passenger,KALKA,KALKA,DLI,DLI
86099,TRN-99-PNR,Origin,DLI,DELHI JN.,00:00:00,00:00:00,7,Mail,DLI,DELHI JN.,HARIDWAR,HARIDWAR
60488,TRN-488-M,Origin,DLI,DELHI JN.,00:00:00,00:00:00,9,MEMU,DLI,DELHI JN.,LUCKNOW NR,LUCKNOW NR
57739,TRN-739-SF,Origin,DLI,DELHI JN.,14:05:00,14:05:00,11,Mail,DLI,DELHI JN.,HARIDWAR,HARIDWAR
49363,TRN-363-PNR,Through,DLI,DELHI JN.,04:50:00,04:57:00,11,Passenger,AGRA,AGRA,AMRITSAR,AMRITSAR
90676,TRN-676-PNR,Through,DLI,DELHI JN.,01:45:00,01:45:00,8,SF Express,SRINAGAR,SRINAGAR,HARIDWAR,HARIDWAR
67954,TRN-954-M,Through,DLI,DELHI JN.,07:10:00,07:50:00,2,MEMU,LUCKNOW NR,LUCKNOW NR,HARIDWAR,HARIDWAR
98184,TRN-184-PNR,Origin,DLI,DELHI JN.,15:15:00,15:15:00,4,SF Express,DLI,DELHI JN.,BOKARO,BOKARO
90120,TRN-120-EXP,Through,DLI,DELHI JN.,08:15:00,08:30:00,11,Express,KOLKATA,KOLKATA,BIKANER,BIKANER
23970,TRN-970-SF,Origin,DLI,DELHI JN.,22:05:00,22:05:00,1,MEMU,DLI,DELHI JN.,AZAMGARH,AZAMGARH
25906,TRN-906-SF,Origin,DLI,DELHI JN.,17:20:00,17:20:00,10,Shatabdi,DLI,DELHI JN.,BIKANER,BIKANER
68008,TRN-8-SF,Through,DLI,DELHI JN.,06:45:00,07:05:00,9,SF Express,KOLKATA,KOLKATA,VARANASI,VARANASI
92149,TRN-149-M,Origin,DLI,DELHI JN.,07:30:00,07:30:00,5,Shatabdi,DLI,DELHI JN.,KOLKATA,KOLKATA
51904,TRN-904-EXP,Origin,DLI,DELHI JN.,02:10:00,02:10:00,2,Rajdhani,DLI,DELHI JN.,ROHTAK,ROHTAK
63424,TRN-424-PNR,Through,DLI,DELHI JN.,17:25:00,17:40:00,10,Rajdhani,SRINAGAR,SRINAGAR,HOWRAH,HOWRAH
72518,TRN-518-EXP,Terminating,DLI,DELHI JN.,06:25:00,06:25:00,9,MEMU,AGRA,AGRA,DLI,DELHI JN.
73993,TRN-993-M,Origin,DLI,DELHI JN.,06:25:00,06:25:00,11,Rajdhani,DLI,DELHI JN.,HARIDWAR,HARIDWAR
31632,TRN-632-SF,Terminating,DLI,DELHI JN.,22:45:00,22:45:00,7,Express,HOWRAH,HOWRAH,DLI,DELHI JN.
21003,TRN-3-SF,Origin,DLI,DELHI JN.,15:15:00,15:15:00,7,Shatabdi,DLI,DELHI JN.,LUCKNOW,LUCKNOW
